pos,bib,name,team,category,rank,nationality,time,timediff,La Charme,Saint-Gervais,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Fouly,Champex Lac,Bovine,Trient,Catogne,Vallorcine,Argentière,Chamonix - Arrivée,la charme_pos,saint-gervais_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la fouly_pos,champex lac_pos,bovine_pos,trient_pos,catogne_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
815,780,MINARD Philippe,CROCO,V1 H,816,FR,40:21:12,18:49:14.000000,4033,5671,8926,12059,,18000,26968,23459,26220,27557,31985,34297,36114,37243,40030,45850,54252,57475,,63758,66128,67754,1791,901,1809,384,-1,682,556,875,1086,685,720,693,569,775,907,724,1007,665,-1,863,724,816
816,2330,VIALE Lucien,,V1 H,817,Fr,40:21:49,18:49:51.000000,2981,4213,6802,8744,,12781,17178,17065,20553,22356,26009,28268,29987,32297,34713,39839,50598,55203,,62727,,67791,2009,1816,702,609,-1,907,627,384,696,927,808,505,704,645,1513,712,665,936,-1,862,-1,817
817,3414,MERCIER Eric,,SE H,818,Fr,40:22:29,18:50:31.000000,3675,5410,8812,11350,,17676,25389,22687,26056,27240,31037,33574,35837,37320,40524,45256,55033,58719,,64131,66646,67831,706,703,261,329,-1,1803,507,419,1470,847,580,513,645,1505,775,1025,740,899,-1,823,721,818
818,2286,NOGUERO Michel,,V1 H,819,Fr,40:26:16,18:54:18.000000,2589,3901,7007,9338,,14729,19316,18944,22037,23635,26273,27942,29996,32030,34758,38924,47751,51669,,59801,,68058,209,415,2131,399,-1,1003,656,921,511,693,792,645,672,799,708,680,1099,898,-1,752,-1,819
819,2294,FOURNY Matthieu,CSM RILLIEUX,SE H,820,FR,40:26:44,18:54:46.000000,1539,2163,3560,4490,,6621,8249,8400,10282,12135,21500,22423,23066,24431,30381,35260,47163,51442,,58917,,68086,769,266,514,318,-1,837,372,757,558,690,1589,1657,743,537,680,1417,947,960,-1,785,-1,820
820,3477,DEMUNCK Pascal,ENTENTE SPORTIVE POLICE MARSEILLE,SE H,821,Fr,40:26:53,18:54:55.000000,1991,2964,5081,6962,,11142,15939,15911,18987,20418,24897,27121,29539,31623,35618,40537,49021,52600,,59767,,68095,1503,162,875,217,-1,1046,575,1656,738,742,600,1450,390,620,1510,790,765,797,-1,843,-1,821
821,489,HAMEL Laurent,ULTRA MARATHON FRANCE,V1 H,822,FR,40:28:50,18:56:52.000000,3264,4937,7972,10978,,16203,25280,22883,26880,28747,33265,35441,37361,39261,42192,48022,57634,61197,,65756,67010,68212,840,395,790,1583,-1,1494,1351,453,670,908,1522,774,774,595,740,672,766,744,-1,1419,727,822
822,3615,FERRI Daniel,U.A.TARBES,V2 H,823,FR,40:29:15,18:57:17.000000,3816,5592,8963,11788,,17616,25156,22438,,26550,28932,30877,32757,34161,37527,42576,49010,52999,,60363,,68237,395,1833,164,2014,-1,793,585,1808,-1,907,668,439,599,907,739,1011,948,864,-1,786,-1,823
823,3184,PEREZ CEDRES Javier,,SE H,824,Es,40:29:48,18:57:50.000000,3115,4722,7564,9854,,14822,,19882,23471,26823,29634,31804,33710,35634,39248,44605,52706,56346,,62505,,68270,910,2018,893,1592,-1,794,-1,452,724,1593,552,664,906,694,1028,930,715,768,-1,885,-1,824
824,932,MICHEL Pierre-Alain,,V2 H,825,Fr,40:31:49,18:59:51.000000,3416,4919,8017,10750,,16193,21828,21361,24691,26074,30686,32678,34911,37205,40336,46438,54594,58613,,63749,66328,68391,318,308,704,1270,-1,468,644,1591,626,310,553,844,1587,1586,779,802,731,852,-1,816,750,825
825,1032,BILLARD Philippe,UFO,SE H,825,FR,40:31:49,18:59:51.000000,2676,3758,5826,7943,,11614,15825,15437,17663,20667,22599,23594,26782,32367,35703,42574,54835,57992,,64607,66187,68391,1223,441,761,505,-1,1228,378,905,1486,782,684,1658,1512,794,778,801,744,790,-1,854,747,826
826,2931,MARCHAND Stephane,UFO,SE H,825,FR,40:31:49,18:59:51.000000,2318,3261,5027,6998,,10919,15330,14461,18986,21072,22866,25510,28183,32370,35705,42571,54728,57992,,64609,66188,68391,2196,689,2132,584,-1,2024,1724,906,321,926,597,391,715,795,671,467,864,849,-1,729,748,827
827,3308,ACLOQUE Marc,SLSA,V2 H,825,Fr,40:31:49,18:59:51.000000,3420,4919,8014,10747,,16185,21661,21143,24695,26029,30683,32673,34914,37207,40334,46440,54615,58612,,63750,66326,68391,604,2191,705,465,-1,1026,1123,1354,359,534,505,704,937,731,821,1026,1322,902,-1,728,716,828
828,2975,BOUVIER Thierry,SAINT-NAZAIRE OLYMPIQUE SA,V1 H,829,FR,40:32:38,19:00:40.000000,2147,2933,4721,6720,,11646,16893,16982,20470,23481,27928,30446,32876,35103,38608,44641,52580,56190,,63189,66651,68440,730,262,1642,191,-1,690,547,558,763,665,798,446,1586,739,725,468,768,774,-1,753,715,829
829,849,LAURENT Gilles,,V1 H,830,FR,40:33:04,19:01:06.000000,3295,4804,7524,9583,,14488,,19750,23608,25537,30836,33044,34948,37318,40543,47469,54700,58051,,64358,66418,68466,231,1488,399,219,-1,942,-1,418,764,588,405,1587,816,740,657,797,1323,755,-1,772,767,830
830,595,BOSSANT Daniel,MARNE ET GONDOIRE ATHLETISME,V1 H,831,FR,40:33:56,19:01:58.000000,2479,3758,5946,7938,,12775,17631,17740,26880,27932,32229,33891,35863,37347,40159,44450,50835,53331,,61591,,68518,1395,1582,1608,218,-1,838,1723,671,889,700,574,952,944,599,447,1135,849,766,-1,792,-1,831
831,596,CORNE Katell,LEGENDRE BRETAGNE,SE F,831,FR,40:33:56,19:01:58.000000,2481,3758,5943,7934,,12771,17626,17457,20440,21618,24862,27019,29009,31169,34841,40521,49798,53334,,61588,,68518,1639,675,1987,331,-1,1818,1414,727,540,826,1143,501,622,908,805,676,842,760,-1,742,-1,832
832,2067,DESCHAMPS Michel,EASQUY,V2 H,831,FR,40:33:56,19:01:58.000000,2321,3463,5945,7941,,12773,17499,17374,20441,22299,24864,27021,29015,31171,34844,40520,49791,53333,,61590,,68518,458,968,2013,394,-1,758,237,350,606,666,1056,1513,818,863,804,765,1102,759,-1,776,-1,833
833,2319,VIAL Alexandre,,SE H,834,FR,40:35:24,19:03:26.000000,2910,4717,7516,,,15621,,20033,24583,26205,30590,33234,36757,40641,43862,50644,57420,60609,,63929,66368,68606,1782,231,308,-1,-1,1589,-1,415,552,767,744,953,623,760,598,722,774,1159,-1,845,726,834
834,848,VIVIER frédéric,CAF DSA,SE H,835,FR,40:35:36,19:03:38.000000,3298,4892,7582,9665,,14905,,20022,23955,25523,31049,33099,35080,37764,40546,47548,54712,58350,,64360,66423,68618,694,558,398,1797,-1,890,-1,604,649,768,447,680,646,909,845,675,683,635,-1,768,768,835
835,401,RENOU Denis,IND.,V1 H,836,FR,40:36:44,19:04:46.000000,3676,5080,7757,9998,,17179,26980,23607,27780,30522,33618,36183,38515,40328,43239,49500,56300,59850,,64823,67279,68686,2023,652,664,605,-1,2080,1578,430,551,1809,775,1512,1584,1502,684,766,807,685,-1,938,728,836
836,3223,PINYOL CIVIT Edgar,,SE H,836,Es,40:36:44,19:04:46.000000,3148,4663,8809,11262,,15954,,19225,21926,24347,28812,31038,34254,35823,39706,46063,55674,59575,,64596,67369,68686,876,970,693,809,-1,418,-1,1576,272,1502,1659,1091,1091,804,798,737,760,785,-1,748,713,837
837,1503,BYRNE Keith,THE NORTH FACE TEAM,V1 H,838,GB,40:37:37,19:05:39.000000,3015,4342,6700,8886,,12419,16811,17180,19922,21607,29873,32327,35766,38596,42327,50624,62504,64725,,68072,68542,68739,2094,969,1472,600,-1,336,242,1140,635,1394,708,1729,1509,650,810,736,759,826,-1,718,714,838
838,3702,EMMET Anthony,TNF,SE H,838,GB,40:37:37,19:05:39.000000,3014,4342,6702,8904,,12472,17126,17221,20460,21609,29875,32340,35769,38600,42330,50620,62507,64730,,68073,68543,68739,1013,1796,640,244,-1,555,476,1584,603,795,716,496,534,748,826,733,661,786,-1,1037,737,839
839,3371,LEVIELLE Guislain,,V1 H,840,FR,40:38:10,19:06:12.000000,3924,5830,9084,11895,,16650,14522,21296,23851,26249,29578,31566,34260,36200,40367,45421,54772,58261,,63695,66307,68772,266,924,868,1810,-1,700,880,650,533,871,1080,1394,1657,680,827,864,741,1035,-1,828,710,840
840,3442,BUCHER François,ENTENTE SPORTIVE RENAULT,V1 H,841,FR,40:39:01,19:07:03.000000,2491,3595,5672,7067,,11481,15548,14959,16637,17539,22974,24402,26457,27824,30564,37681,53690,57553,,63855,65932,68823,2047,475,246,724,-1,606,1086,1658,678,1330,478,937,1658,874,1507,662,841,841,-1,790,717,841
841,3453,PEARSON Gary,,SE H,842,GB,40:39:14,19:07:16.000000,2937,4062,6527,7999,,11555,15357,14761,17202,18866,21950,24304,27257,29904,34071,41713,58357,61735,,65525,66910,68836,1040,1354,336,939,-1,601,370,869,686,1448,845,1288,795,945,863,1104,889,910,-1,890,755,842
842,2612,HUGHES Chris,NONE,SE H,843,GB,40:40:05,19:08:07.000000,2629,4296,7294,9573,,15571,21943,22282,26640,29202,33341,38026,41740,44413,48542,55761,63960,65458,,67842,68378,68887,619,984,475,348,-1,395,503,552,864,1583,1092,715,759,805,748,667,635,773,-1,889,719,843
843,2098,LAUGIER Jacques,MILLE PATTES LE PONTET,V2 H,844,FR,40:40:50,19:08:52.000000,3272,4938,7893,10266,,15015,19339,19076,22926,24213,27922,30108,32602,34885,38050,44572,52139,56200,,62643,,68932,252,270,951,325,-1,310,1725,605,772,749,513,1290,798,1587,799,944,685,752,-1,901,-1,844
844,2048,VAUCHER Éric,BOURG EN BRESSE TRIATHLON,SE H,845,FR,40:44:03,19:12:05.000000,3208,4952,7809,9916,,14323,18627,18445,21240,22976,25833,27581,29283,30879,35650,42199,51905,56633,,64180,66564,69125,902,861,890,928,-1,744,1274,551,621,1512,748,744,594,584,769,782,909,905,-1,900,725,845
845,490,DIRR Peter,,V2 H,846,DE,40:46:09,19:14:11.000000,2383,3762,6736,9142,,15105,20371,19712,22657,24799,26264,28777,31184,33196,37476,42885,50603,54786,,63015,,69251,2095,1836,1002,635,-1,275,441,868,919,1030,1503,599,592,551,768,879,826,691,-1,849,-1,846
846,3098,NARANJO AZNAR Francisco Jose,NUTRIAS PANTANERAS,V1 H,847,Es,40:48:15,19:16:17.000000,4134,5845,9772,12217,,18421,25927,23428,27060,29167,32208,34370,36706,38386,41726,47747,55429,59601,,64487,67036,69377,245,283,281,508,-1,340,713,362,1556,785,311,494,593,589,909,878,716,952,-1,853,909,847
847,2792,LATTAB Naceur,,V2 H,848,Fr,40:49:49,19:17:51.000000,3086,4663,7586,9870,,14852,20235,18628,20276,20824,24539,26159,28796,30831,32570,40643,53920,57675,,65430,67430,69471,811,1681,876,398,-1,891,442,935,548,582,1527,742,1504,523,908,762,903,951,-1,859,782,848
848,2926,LEGRON Olivier,,V1 H,849,FR,40:50:00,19:18:02.000000,3991,5798,8780,11941,,17497,26098,25681,29377,31314,36563,39277,40940,42641,46176,51075,57668,61045,,65436,67480,69482,907,1003,414,797,-1,438,369,827,705,1105,1274,1509,649,649,1291,735,904,778,-1,902,753,849
849,2246,BORCSOK Andras,,V1 H,850,HU,40:50:52,19:18:54.000000,3069,4640,7986,10876,,15997,,20276,23703,25753,28909,31644,34390,36506,39881,45908,53034,57244,,63509,,69534,1411,1456,394,478,-1,1264,-1,1446,1617,748,1510,818,793,598,653,734,905,904,-1,839,-1,850
850,1031,CONILL Carles,TALLADITS,SE H,851,ES,40:51:11,19:19:13.000000,3169,4650,8030,12069,,20270,26377,25595,29388,30535,34483,37274,39970,42380,46000,53126,59846,63597,,67460,68457,69553,1449,1383,443,477,-1,702,404,2003,1362,651,995,478,1418,682,794,768,1030,906,-1,824,752,851
851,1957,CONTI Tommaso,COURMAYEUR TRAILERS,SE H,852,IT,40:52:10,19:20:12.000000,4214,5706,9906,13718,,18600,22215,21396,23678,25055,26759,28595,30832,34650,37789,43987,51727,55789,,63887,,69612,558,1049,952,1225,-1,1499,1407,576,587,551,743,1521,794,447,795,839,778,821,-1,827,-1,853
852,1974,GAILLARD Stephan,FOULEES DE SAINT GERMAIN EN LAYE,SE H,852,FR,40:52:10,19:20:12.000000,3545,4968,7486,9823,,15393,,19861,23740,27235,30339,32688,35429,37211,40033,45758,53449,57475,,63998,65935,69612,339,619,728,602,-1,745,-1,1798,1763,763,439,994,665,673,1289,1504,733,764,-1,815,770,852
853,991,DE OLIVEIRA Paulo,,SE H,854,FR,40:52:38,19:20:40.000000,2820,4093,7121,10098,,15035,,19887,23004,24369,28815,30799,32608,35821,38981,44465,53548,57363,,63561,67033,69640,1148,155,681,641,-1,705,-1,579,1325,381,494,1055,969,516,945,627,821,1006,-1,907,783,854
854,342,REYNAUD Dominique,Pays Viganais Endurance Nature,V2 H,855,FR,40:52:44,19:20:46.000000,3253,4988,8097,10208,,16611,21997,22340,25623,27888,30284,33121,35623,37518,41111,45055,51010,55459,,62757,,69646,276,277,547,1829,-1,706,629,681,413,1445,391,1526,970,471,597,791,940,1107,-1,1092,-1,855
855,2003,SCHWARTZ Michelle,,SE F,855,US,40:52:44,19:20:46.000000,2827,4141,7212,9352,,14368,,18902,22375,24892,27658,29384,31142,34119,37292,42451,49535,53744,,62429,,69646,1294,1821,641,676,-1,889,-1,554,561,466,1587,683,730,743,545,792,752,686,-1,805,-1,856
856,3560,RUIZ George,,V2 H,855,US,40:52:44,19:20:46.000000,2828,4141,7213,9351,,14381,18962,18898,22378,24884,27656,29382,31153,34110,37263,42451,49537,53741,,62413,,69646,1097,1187,749,791,-1,1512,1419,269,1017,1810,817,622,1659,597,639,727,786,777,-1,912,-1,857
857,951,MOLIN Christian,,V2 H,858,FR,40:52:58,19:21:00.000000,2744,4178,7241,9931,,14896,19054,18922,22590,26534,28585,30401,32743,35473,38970,44640,55874,59652,,65240,67275,69660,1654,1186,748,403,-1,416,662,1817,831,322,785,1165,1394,574,946,943,785,890,-1,921,735,858
858,3262,PERONNE Jean Christophe,,V1 H,858,Fr,40:52:58,19:21:00.000000,3790,5465,9065,11998,,17920,26946,23432,27060,31234,32770,35223,37094,39325,42696,49760,56408,60446,,65434,67201,69660,805,1217,809,1674,-1,1820,1357,1483,607,623,1516,1105,1521,810,674,754,894,720,-1,875,763,859
859,990,DALLEMAGNE Ghislain,,V2 H,860,FR,40:53:41,19:21:43.000000,2820,4088,6927,9560,,14053,18969,19042,22262,23452,27326,29706,31816,34247,37831,43961,53442,57362,,63575,67190,69703,1706,1409,539,792,-1,1543,622,1807,770,1026,1588,1730,683,790,1505,960,899,842,-1,769,779,860
860,2292,JOURDHEUIL Xavier,US CHEMINOTS AMIENS,V1 H,861,FR,40:54:41,19:22:43.000000,2242,3109,4854,6480,,9409,11889,11182,12327,12669,15280,16610,17552,19429,21046,24811,54004,57326,,63917,66381,69763,305,408,1099,1098,-1,1592,584,359,1467,573,665,570,1055,503,595,988,847,1011,-1,840,778,861
861,2727,JACQUEMMOZ andré,FONDUS MAURIENNE,V2 H,861,FR,40:54:41,19:22:43.000000,3311,4854,7686,11243,,16657,22235,21911,24605,25593,30628,33217,35148,37808,40495,44889,54031,57326,,63915,66383,69763,343,552,1098,1097,-1,1593,489,815,1260,559,1166,794,1290,481,737,1033,773,895,-1,865,749,862
862,222,GAGNIERE Pierre,7 LIEUES AVENTURES,V2 H,863,FR,40:54:48,19:22:50.000000,2434,3713,6245,8567,,12847,,17493,20436,21776,24892,27109,29696,32609,35733,42430,51031,55193,,62461,,69770,1850,876,1773,1315,-1,1100,-1,1024,354,636,796,793,1513,470,738,796,908,900,-1,929,-1,864
863,3022,MOREAU Guy,7 LIEUES AVENTURES,V3 H,863,FR,40:54:48,19:22:50.000000,3047,4876,7973,10135,,14945,19303,18956,21872,23216,26870,29088,31319,33803,37558,43720,51032,55200,,62458,,69770,1004,1150,1869,603,-1,424,830,389,782,402,623,1586,994,962,759,842,896,657,-1,851,-1,863
864,2154,LONGCHAMP Bertrand,,SE H,865,CH,40:54:54,19:22:56.000000,3959,6393,10105,12542,,18203,25507,22354,25140,27041,31033,34536,36703,38417,41319,46090,54404,59562,,64815,66989,69776,162,824,1025,414,-1,499,384,1509,1477,890,794,816,648,1590,790,905,907,944,-1,861,720,865
865,3685,ESTEVENIN Michel,A.S.B.,V2 H,866,FR,40:55:23,19:23:25.000000,3418,5362,9056,11341,,16298,,20656,24216,25565,29992,31986,34843,36725,40061,47568,54225,56943,,63871,66376,69805,307,829,2133,1491,-1,1101,-1,1508,681,889,335,795,597,674,990,904,1038,863,-1,860,743,866
866,2882,POGEANT Pascal,,V1 H,867,FR,40:55:42,19:23:44.000000,2599,3790,6755,9231,,14194,18649,18109,20857,21653,27785,29736,31827,34349,37066,41537,51691,55378,,61853,,69824,1154,830,2134,1500,-1,796,1541,646,1414,793,1106,1593,499,1056,673,1505,812,770,-1,892,-1,867
867,2194,STAPELLE Eric,SMAC NAMUR,V1 H,868,BE,40:55:57,19:23:59.000000,2707,3799,6228,8008,,12784,17809,17924,22370,24438,29114,31998,34116,35925,40180,46050,56626,60542,,67389,69640,69839,315,935,968,599,-1,1828,506,548,701,837,1513,535,1288,759,508,1090,1037,927,-1,833,846,868
868,2214,WAYMEL Pascal,,V1 H,869,FR,40:56:00,19:24:02.000000,3786,5893,9155,11924,,17627,21951,,,30362,31475,33394,35697,38148,41876,49020,,59981,,64647,66728,69842,1819,844,969,669,-1,1821,1276,-1,-1,838,1289,551,773,846,470,906,-1,928,-1,852,738,869
869,2085,MELON Alain,,SE H,870,FR,40:56:28,19:24:30.000000,3787,5893,9156,11915,,17415,21929,21613,24868,26249,31392,33359,35741,38109,41837,48922,56285,59903,,64618,66689,69870,422,1506,153,601,-1,637,312,895,702,831,760,773,1105,778,460,1506,924,908,-1,1027,837,870
870,3118,MURRAY Gary,FRA,V1 H,871,GB,40:56:38,19:24:40.000000,2615,3439,6134,8593,,12697,17120,16977,20438,22168,24779,26668,28557,30771,33282,38402,45920,50362,,59602,,69880,2228,604,545,454,-1,870,1540,276,933,963,795,665,1506,800,800,860,788,909,-1,1028,-1,871
871,1063,COUSIN Irving,,SE H,872,FR,40:57:13,19:25:15.000000,2795,4217,6626,8583,,12866,17101,16939,19753,21135,24867,26761,28599,30824,34179,39565,49978,53975,,62233,,69915,1885,189,2135,728,-1,1409,525,447,539,794,846,759,742,779,696,875,755,847,-1,897,-1,872
872,1512,DAVID Christophe,UFO,SE H,872,FR,40:57:13,19:25:15.000000,3952,5265,8058,10286,,15297,,19885,22705,25472,27963,30226,32694,35106,38340,44487,53912,57956,,64509,67045,69915,1750,886,865,579,-1,1498,-1,708,1262,724,1585,646,666,1232,796,854,857,812,-1,817,754,873
873,1976,BOUTEILLE Christian,UFO,V1 H,872,FR,40:57:13,19:25:15.000000,2831,4214,6586,9120,,13351,17980,18209,21236,22406,27103,28754,31036,32677,35146,38650,49975,53975,,62191,,69915,2198,422,2048,617,-1,1505,937,836,554,395,1291,730,446,878,619,853,850,1042,-1,995,-1,874
874,2071,GUET-FRAPARD Yannick,,SE H,875,FR,40:57:21,19:25:23.000000,1987,2979,5148,7395,,11203,15428,15026,17499,18603,23864,26274,28602,30847,34167,40036,49946,53973,,62184,,69923,1801,1634,792,732,-1,1684,1294,607,988,866,819,944,1231,545,747,800,887,1043,-1,844,-1,875
875,2249,COLMANT Philippe,,V2 H,876,Fr,40:58:03,19:26:05.000000,3308,4900,7949,10587,,15598,,20188,23137,25670,27917,30448,32696,34602,38634,46398,53669,57557,,63824,66614,69965,553,1046,1663,1391,-1,709,-1,1510,663,786,673,447,1501,1508,714,799,886,751,-1,904,790,876
876,2949,GAROCHE Lionel,US ACIGNE,SE H,877,Fr,40:58:37,19:26:39.000000,2501,3620,6759,8581,,12987,17158,17366,20585,22185,28243,30117,32614,34499,37951,44203,58583,65197,,68026,68932,69999,235,2025,860,896,-1,651,698,792,841,608,774,747,712,747,682,711,851,859,-1,1059,776,877
877,2058,LAWLOR Kevin,,V1 H,878,US,40:59:12,19:27:14.000000,2316,3747,6055,7811,,12132,5691,16697,20483,23478,25265,27412,30991,33266,37292,42440,49496,53812,,62431,,70034,277,778,791,1027,-1,831,785,608,725,536,739,1662,644,1106,1106,696,914,858,-1,1013,-1,878
878,3018,DAUGE Jean-Marc,,V2 H,879,FR,40:59:27,19:27:29.000000,2597,3532,6147,7957,,11693,15581,15160,18264,18799,23876,26243,27976,31462,33189,39089,47758,51813,,67238,68621,70049,1500,2162,603,1000,-1,553,786,837,1162,1498,740,623,588,713,785,1507,537,857,-1,930,765,879
879,1500,MASE Chigaya,THE NORTH FACE TEAM,V1 F,880,JP,40:59:34,19:27:36.000000,1096,1371,1968,2359,,3949,5313,5883,7787,8604,11863,12852,14080,16533,18528,22624,31372,35612,,66773,68263,70056,720,228,466,343,-1,832,594,925,1163,541,1451,784,1030,696,1514,730,872,851,-1,829,777,880
880,2711,ANGRIGNON Russell,,V1 H,881,CA,41:00:06,19:28:08.000000,4161,6269,9366,11567,,15864,,19575,22446,23633,28245,29481,31364,33355,36986,41591,55991,59726,,65333,67474,70088,936,337,379,569,-1,830,-1,889,883,609,666,738,738,882,771,713,1049,919,-1,834,813,881
881,2762,ANGRIGNON Delena,,V1 F,881,CA,41:00:06,19:28:08.000000,4161,6270,9366,11566,,15864,,19588,22448,23633,28247,29502,31366,33352,36989,41590,55993,59727,,65331,67475,70088,2217,1096,1369,1799,-1,1585,-1,246,882,1374,890,739,739,881,727,687,838,993,-1,953,773,882
882,1959,THEIS thierry,SANOFI-AVENTIS,V1 H,883,Fr,41:01:28,19:29:30.000000,2643,3936,7019,9592,,14493,,20040,23038,24579,30247,32370,34887,37738,41271,47116,55229,58714,,64823,67264,70170,567,1447,55,648,-1,816,-1,543,1120,862,1664,961,767,769,1232,697,1052,882,-1,954,807,883
883,2403,GUION Michel,CE  SANOFI-AVENTIS,V2 H,883,FR,41:01:28,19:29:30.000000,2651,4151,7092,9594,,14667,,20037,23037,24580,30253,32374,34888,37740,41276,47119,55226,58704,,64821,67266,70170,380,891,1829,1579,-1,552,-1,411,802,773,667,851,747,1514,925,1035,770,813,-1,903,746,884
884,1820,TRELLE Pierre,,V2 H,885,FR,41:01:34,19:29:36.000000,3861,5826,9137,12271,,17896,25360,22592,25708,26791,31336,32811,34604,36702,39838,46529,53938,57471,,64715,66922,70176,568,315,794,2085,-1,867,1549,540,700,704,1031,1030,851,768,757,963,1034,850,-1,972,745,885
885,3245,NICAUD Philippe,,V1 H,886,CH,41:01:37,19:29:39.000000,4280,6468,9504,12505,,18393,22280,21775,24873,25439,28378,30265,32369,34508,37482,42574,50361,55142,,62668,,70179,1000,729,301,1727,-1,362,705,386,581,606,516,798,804,725,793,934,1035,1057,-1,846,-1,886
886,2308,DIEUDONNE Patrick,JOGGING COUTANCES,V1 H,887,FR,41:01:50,19:29:52.000000,3105,4638,7691,9774,,14497,21264,21139,24705,26142,30708,32774,34977,38933,41411,46458,56247,60479,,66494,68454,70192,2163,865,971,649,-1,559,1712,793,322,1290,731,666,799,890,983,824,764,838,-1,963,774,887
887,3283,LELEZ Laurent,ATLHETISME CLUB CHATEL GUYON,SE H,887,FR,41:01:50,19:29:52.000000,2437,3768,6624,9558,,14843,,20667,24069,27138,29370,32435,34913,37315,40768,47145,54905,58717,,64604,67066,70192,532,586,1640,1496,-1,455,-1,1328,856,719,945,593,470,657,1508,823,777,873,-1,1080,784,888
888,2582,DESGOUTTE Christophe,ATOUSPORTS,V1 H,889,Fr,41:05:44,19:33:46.000000,2848,4178,7017,9551,,14462,18177,18424,21211,22603,28123,30128,33099,34890,38676,44031,56192,61037,,66752,68154,70426,675,507,1395,798,-1,605,255,556,863,1418,799,1501,961,809,697,883,686,887,-1,872,761,889
889,2152,LAPOSTOLLE Judith,AVOC,V2 F,890,NL,41:06:08,19:34:10.000000,2887,4316,6788,8997,,12594,17141,17361,20339,21594,26447,29245,31819,33450,37160,43993,53546,57557,,63452,66415,70450,228,2099,1575,1846,-1,1448,733,510,825,447,900,906,924,667,1586,820,691,888,-1,908,762,890
890,2863,GIRALDO Marielle,,V1 F,890,FR,41:06:08,19:34:10.000000,2885,4317,6788,9000,,12485,17224,17354,20336,21593,26724,29248,31822,33839,37180,43985,53540,57562,,63452,66421,70450,1837,1814,1215,639,-1,1318,699,463,826,694,1164,594,1526,793,997,1508,783,783,-1,906,806,891
891,2462,JACOB Sylvain,DEFIS SPORTS AVENTURES,SE H,892,Fr,41:06:26,19:34:28.000000,2810,4183,6693,8800,,12552,17116,17258,20443,22030,27101,29432,31519,36652,39748,45380,55417,58621,,65882,68510,70468,64,515,1559,1813,-1,862,528,1594,884,804,804,767,986,902,962,807,869,788,-1,814,744,892
892,2536,FRANCESC Tobias,MONTCLAR,V2 H,893,Es,41:08:13,19:36:15.000000,2419,3784,6145,8600,,13800,18147,18462,21838,25520,28203,30627,33336,35731,39001,45170,52553,56499,,63918,66759,70575,1595,671,305,463,-1,385,433,533,619,924,446,1231,877,901,881,640,916,923,-1,813,803,893
893,1066,DIAZ CARLUS Carlos,RSEA PENALARA,V1 H,894,ES,41:08:17,19:36:19.000000,2233,3318,6676,9762,,14832,,19828,24252,25265,29911,32323,33713,35591,39526,45663,54802,58468,,66136,67548,70579,284,2199,677,261,-1,549,-1,1445,899,999,496,423,696,642,882,899,845,964,-1,812,729,894
894,2893,ATIENZA CEBALLOS Carlos,INDEPEND,SE H,894,ES,41:08:17,19:36:19.000000,2230,3318,6676,9761,,14833,,19830,24254,25267,29913,32321,33711,35589,39528,44677,54805,58470,,66135,67547,70579,1822,2093,1483,1816,-1,256,-1,684,900,937,1294,595,784,1291,765,898,881,962,-1,836,810,895
895,2143,BAPTISTE Fabrice,,SE H,896,FR,41:10:25,19:38:27.000000,2161,3180,6099,8925,,13592,20477,19489,22946,24343,29735,32060,34650,37035,39886,46846,54885,58902,,64659,67122,70707,2221,866,781,1815,-1,923,651,1816,832,1027,809,777,550,987,902,903,958,1040,-1,887,798,896
896,2510,MARCHI Luca,FRIESIAN TEAM,SE H,897,IT,41:11:08,19:39:10.000000,3284,5002,7766,10254,,15779,21250,21102,,26432,33300,36046,37644,40228,44171,50009,57045,60552,,65706,67248,70750,427,540,769,803,-1,808,1279,888,-1,605,962,873,1024,785,901,1449,960,897,-1,825,885,897
897,2858,CABY-BAER Dominique,ENTENTE SPORTIVE THIONVILLE YUTE,V1 H,898,Fr,41:11:38,19:39:40.000000,2770,3919,6635,8489,,12887,17481,17172,19636,20614,23921,25206,27404,29960,33046,38073,52999,56833,,64035,67460,70780,2098,1503,613,586,-1,871,467,587,381,575,551,778,619,1289,1037,843,895,1039,-1,826,780,898
898,1811,TAVERNE Bernard,ENDURANCE GRIGNON SAVOIE,V2 H,899,FR,41:11:55,19:39:57.000000,3497,5118,8298,10754,,15862,,20278,23632,25871,28343,31445,33672,35449,38370,45905,53994,58331,,64877,67064,70797,377,1680,403,894,-1,614,-1,887,1411,891,681,712,583,1515,867,1509,858,845,-1,869,730,899
