pos,bib,name,team,category,rank,nationality,time,timediff,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Bovine,Trient,Catogne,Vallo,TaVents,Flégère,Arrivé,delev_pos,stger_pos,conta_pos,balme_pos,bonhom_pos,chapieu_pos,seigne_pos,combal_pos,mtfavre_pos,checrou_pos,courm_pos,bertone_pos,bonatti_pos,arnuva_pos,gdcolf_pos,fouly_pos,champex_pos,bovine_pos,trient_pos,catogne_pos,vallo_pos,tavents_pos,flégère_pos,arrivé_pos
1148,3283,PARIS Alain,Hong Kong Trail Runner Club,V1 H,1149,FR,43:08:07,22:33:10,3370,4737,7723,11807,14727,16341,,24454,26838,28354,29550,36817,39455,41180,45146,48765,56001,61917,65155,71944,74109,78586,80130,81190,1313,1929,632,518,559,933,-1,1033,1170,1032,823,1800,857,1050,1183,1239,1160,1026,1236,1247,1237,1202,1118,1149
1149,4803,HACHEM Francis,,V1 H,1150,FR,43:08:15,22:33:18,2458,3729,7389,10315,12814,14356,,21529,25449,26554,28291,33186,36002,38494,41794,45005,52277,56402,60607,68752,71999,76915,78872,81198,696,743,680,1253,1078,1276,-1,1039,940,1099,1146,1231,1218,894,1156,947,1050,973,1097,978,1074,1201,1115,1150
1150,1026,FERGUSON Andrew,MUDCREW TRAIL RUNNERS.,V1 H,1151,GB,43:08:43,22:33:46,2688,4263,6737,8691,10797,12850,,18261,20468,22237,24247,28190,31385,33758,37490,42256,48861,54213,59483,63780,68581,74506,77540,81226,2067,2130,2075,1852,2249,745,-1,846,946,960,1546,1031,1139,893,1817,834,1207,1145,1030,1069,1209,1112,1164,1151
1151,3291,EGUCHI Mitsuhiro,,V3 H,1152,JP,43:09:01,22:34:04,3251,4703,7310,9308,11572,12889,,18417,20911,22399,24123,29184,34472,37406,40566,43460,50549,56508,60933,67187,71838,76659,78585,81244,917,300,725,2256,466,541,-1,671,1442,911,933,1221,1119,1083,808,768,989,965,1351,1010,1091,1185,1134,1152
1152,2075,VUKELIC Goran,UPRI GELENDER,SE H,1153,HR,43:09:23,22:34:26,2486,3797,6549,8761,10675,12419,,17799,20394,21966,23578,28599,31491,33557,36409,39597,44918,49452,52790,56601,61902,71235,74205,81266,988,1698,681,1451,636,844,-1,1158,1441,1245,627,1159,1491,1239,910,774,1210,1067,1046,1065,1018,1118,1133,1153
1153,383,ORESKOVIC Marko,UPRI GELENDER,SE H,1154,HR,43:09:24,22:34:27,2455,3798,5782,7450,8900,10064,,13693,15671,16768,18259,22649,24640,25852,30408,33821,40432,46486,50949,55824,61871,71192,74152,81267,928,1095,611,2003,782,649,-1,1324,1440,701,822,649,1032,807,1800,1111,1043,1572,1007,1329,1168,1115,1099,1154
1154,3127,DHONNEUR Sylvain,,SE H,1155,FR,43:09:31,22:34:34,3343,4960,9128,11551,14188,15747,,21348,23870,24912,26386,30055,32717,34757,37611,40972,46771,53608,57611,63560,67835,74019,76753,81274,2103,901,1931,303,724,1234,-1,1100,1034,1739,1172,990,1324,930,1046,1055,1110,968,1014,1140,1167,1122,1220,1155
1155,3347,HORVATH Peter,,V1 H,1156,HU,43:09:46,22:34:49,2952,4627,8164,10675,13311,15281,,22143,24519,26397,28566,32686,35041,37112,39263,42478,47585,53173,57363,60704,65011,74846,77597,81289,1040,579,653,1101,1286,731,-1,1284,1101,1066,1068,1109,1836,1284,1284,1141,1066,1143,1157,1210,1196,1096,1143,1156
1156,3813,SANGUINO Pedro,CLUB GBES,SE H,1156,PT,43:09:46,22:34:49,2573,3838,7180,8857,10849,12329,,17140,19158,20327,21814,25846,,30808,34668,38103,44215,50266,54445,60435,64466,74031,76186,81289,1159,641,590,675,461,682,-1,555,899,1157,1634,1079,-1,874,1572,1065,1085,1355,1039,1211,1117,1152,1114,1157
1157,3572,TAKAHASHI Yuko,ASE-HEAT,SE F,1158,JP,43:10:04,22:35:07,2508,3599,7915,10251,12740,14051,,19959,22704,23505,25283,31623,35561,38236,41027,43663,51144,59707,63602,68624,71893,76893,79019,81307,813,902,2259,704,1698,1252,-1,1438,1068,1368,1197,720,1200,1816,1141,1324,1273,1032,1078,1157,1311,1089,1113,1158
1158,2627,LECLERC Jean-Pierre,,V2 H,1159,FR,43:10:41,22:35:44,2149,3315,6469,8676,10854,12602,,19924,22659,23944,25528,31132,33868,35715,38403,41263,47632,55980,60593,67539,71437,76845,78534,81344,1072,523,1855,554,705,694,-1,1439,1781,587,962,940,1058,869,1055,1101,1020,1218,1004,1257,1310,1114,1112,1159
1159,2918,TAKEDA Kentaro,,SE H,1160,JP,43:11:29,22:36:32,2668,4573,8488,10518,13043,14799,,22368,25146,26848,28557,31976,34172,36380,39852,43312,49136,62996,66825,71990,74938,77802,80034,81392,810,580,2091,539,1053,921,-1,1264,976,625,1176,1442,962,868,881,1034,1026,1092,1016,1258,1081,1113,1110,1160
1160,501,SUET Philippe,,V1 H,1161,FR,43:11:51,22:36:54,3275,5102,8893,11220,13611,15506,,21601,23954,25512,27574,32767,35376,37803,41177,44509,50179,56798,61265,66978,70745,75305,76793,81414,1320,1236,1876,1029,843,1011,-1,1440,784,897,1385,1440,1263,1046,768,780,1175,1035,1193,1082,1087,1102,1090,1161
1161,3882,OKONSKI Denis,LES Z'AVOINEURS DU COPS,V1 H,1162,FR,43:12:36,22:37:39,3359,5304,10004,12549,15612,17561,,24936,27120,28621,30474,37214,41479,42557,44739,48866,55191,61008,65066,69259,72797,77666,79780,81459,959,1717,2365,745,1802,1465,-1,1961,711,845,847,1870,852,808,1070,1817,1247,1050,1139,1013,1219,1189,1131,1162
1162,2588,PETIT David,,V1 H,1163,FR,43:14:06,22:39:09,2948,4598,8670,11022,13725,15126,,21333,25446,27164,28851,36364,39531,41469,44470,48140,55213,64591,68602,73623,76105,78881,80206,81549,1887,2412,1201,2252,710,778,-1,710,649,729,1054,844,1093,936,1858,859,1057,995,912,879,1176,1143,1231,1163
1163,2940,AVRILLON Frédéric,TEAM MOUFLARDS,V1 H,1164,FR,43:14:58,22:40:01,3240,4849,8343,10720,13255,14931,,20617,22719,24058,25775,29932,32726,34984,37946,41799,48194,56761,60662,65509,69187,76342,78289,81601,1517,1345,669,994,1095,576,-1,851,738,818,1099,1441,1498,917,1345,1284,1010,1240,1255,1222,1231,1134,1196,1164
1164,4601,VIDAL DUART Maurici,EECVA,SE H,1165,ES,43:16:14,22:41:17,2877,4675,9465,13226,16068,18395,,25042,27904,29435,30807,34778,39265,41169,43223,47135,53678,61910,66058,69605,72444,78572,79927,81677,1341,679,362,1028,369,1063,-1,1024,748,944,1719,1443,692,646,1239,1085,1056,1426,1666,1005,1133,1133,1159,1165
1165,3497,ALLISON Robert,FIFE ATHLETIC CLUB,V2 H,1166,GB,43:17:47,22:42:50,2990,4615,7964,10532,13050,14770,,20759,22949,24317,25791,30708,32721,33992,37241,40657,46619,54209,58145,63786,67481,76001,78133,81770,1342,680,931,263,457,866,-1,1383,2075,707,731,1444,980,1119,1119,1083,945,1045,1054,1066,1619,1159,1185,1166
1166,4027,MOSQUERA GONZALEZ Manuel,CLUB DE MONTANA XESTEIRAS,V3 H,1167,ES,43:17:49,22:42:52,3315,5061,9777,12653,15393,17733,,23788,26135,27598,29213,34551,36812,38324,41596,45208,51027,57872,62088,68605,72063,77534,79355,81772,1855,1841,1152,1727,652,1938,-1,1220,1546,709,1370,1241,1904,1693,1101,770,1009,1082,1171,1220,1201,1110,1152,1167
1167,2610,URUSHIHARA Akihiko,,SE H,1168,JP,43:18:03,22:43:06,3436,4984,8725,11113,13970,15496,,20931,23285,24467,26125,31434,33263,35809,39126,41977,47078,55517,59741,66907,70898,77992,79647,81786,198,2053,581,655,1074,1115,-1,1796,679,1542,1338,1076,963,910,1124,1230,944,1130,1320,1123,1200,1238,1121,1168
1168,3388,KUNIHIRO Issei,SPORCIVA,SE H,1168,JP,43:18:03,22:43:06,2999,4594,8257,10813,13543,15123,,21042,22896,24377,25647,30087,32753,35795,38549,42158,47003,57510,62095,67205,70896,78006,79651,81786,2282,678,903,845,502,1398,-1,1169,1159,787,1135,1046,1926,1160,1125,1855,757,1034,1613,1165,998,1175,1202,1169
1169,3904,HERRERO Eric,,SE H,1170,FR,43:18:13,22:43:16,2494,3531,7177,9575,11886,13070,,19957,22605,23810,24959,31932,34954,37488,41259,44467,52691,62915,65976,70264,73506,78569,80229,81796,1515,928,902,709,271,503,-1,1157,926,1288,1159,1640,1266,1273,1034,1183,882,1101,1568,1090,1233,1158,1201,1170
1170,3817,MARIN OTERO Jaime,,SE H,1171,ES,43:18:47,22:43:50,2201,3297,6225,8360,10197,11487,,16782,19613,20881,22280,28082,30209,32058,34559,37974,45735,56155,60347,66161,69538,75592,77549,81830,536,599,747,694,812,1618,-1,720,942,940,1234,1739,927,707,787,1124,921,1058,1106,1253,1208,1247,1199,1171
1171,1025,CULBERT Brian,SALOMON TORONTO,V2 H,1172,CA,43:19:01,22:44:04,3040,4913,8088,10788,13266,14999,,20687,22685,24040,25460,29452,32183,34065,36836,40210,46071,51575,55506,59912,63597,70203,76580,81844,835,1059,1088,477,2253,1670,-1,1621,913,1170,1221,574,926,757,1356,946,822,1018,1074,1147,1194,1188,1189,1172
1172,4119,MORINIERE Jean-Marc,,V2 H,1173,FR,43:19:23,22:44:26,3175,4217,7029,9166,11251,12376,,17866,20388,21780,23617,31546,34352,36684,39990,43631,49600,58721,62999,66806,70881,75629,77812,81866,1915,1116,1560,2253,1114,982,-1,1062,1251,888,901,860,1671,1221,1267,1125,823,1169,1194,1073,1191,1150,1188,1173
1173,2769,FALLET Eric,,V3 H,1174,CH,43:19:45,22:44:48,3689,5098,9875,12964,16041,17688,,24716,27351,28891,30393,36873,41391,42734,45574,48545,52782,61005,64887,69284,72230,77085,78956,81888,570,2115,835,1799,2082,873,-1,1106,1031,736,709,944,1140,760,806,1572,1173,1005,1088,1099,1285,1199,1150,1174
1174,3598,BENNEJEAN Cecile,CA PICTAVE/CAVALEURS DU CLAIN,V1 F,1175,FR,43:19:55,22:44:58,2979,4625,7933,10703,13221,15016,,21088,23077,24251,25761,30085,32719,35035,38370,42272,49385,56571,61765,66858,71506,76889,78983,81898,1717,810,864,1071,809,1054,-1,730,731,1162,738,1193,1252,1859,1309,848,888,970,1214,1108,1086,1403,1120,1175
1175,4322,DELHOMME Dominique,ES COUERON,V2 H,1176,FR,43:20:05,22:45:08,2588,3754,7882,10162,12397,13863,,21208,22697,24077,25480,34079,36483,38808,42811,46079,52537,59716,64019,69067,71947,77953,80037,81908,924,813,753,1105,1220,1290,-1,1086,1817,1219,853,1617,876,863,774,730,1078,1239,1508,1166,1158,1119,1119,1176
1176,3477,CORBACHO SILVERO Jose Manuel,,SE H,1177,ES,43:20:08,22:45:11,3143,4826,8599,11392,14412,16386,,22705,25492,27189,29257,35200,38232,40505,42949,47120,53851,59788,63489,67471,70940,76349,78241,81911,300,1350,2254,1868,1692,1803,-1,664,1172,855,1063,1284,1120,1070,1230,1068,895,1003,999,1685,1269,1174,1174,1177
1177,1128,DENEUBOURG Serge,SAPEUR POMPIER VAR,V1 H,1178,FR,43:20:10,22:45:13,2507,3888,8030,11283,14286,16717,,24947,27276,28734,30362,34023,36390,38558,41812,46215,52833,60151,64223,67550,71661,77625,79616,81913,1551,569,1788,1732,1012,525,-1,1290,789,1174,1169,707,877,988,947,1356,1324,1512,1228,1185,1268,1037,1175,1178
